Date,Latitude,Longitude,Pieces_KM2
1986-10-15,40.62,-70.07,0
1986-10-16,39.67,-69.43,0
1986-10-18,36.45,-64.88,3597
1986-10-19,35.48,-63.7,3597
1986-10-21,30.97,-60.68,17989
1986-10-21,31.83,-61.32,13492
1986-10-22,29.52,-60.5,19444
1986-10-22,30.4,-60.58,8099
1986-10-23,26.87,-59,0
1986-10-24,26.03,-58.63,44444
1986-10-25,23.37,-57.27,25795
1986-10-27,20.72,-56.75,0
1986-10-28,16.83,-57.93,0
1986-10-29,15.02,-57.67,0
1986-10-29,16.03,-57.87,0
1986-10-30,14.02,-58.95,0
1986-10-31,11.28,-61,0
1986-10-31,11.83,-60.83,0
1986-11-05,12.13,-61.78,0
1986-11-06,13.33,-61.25,0
1987-02-07,26.42,-78.62,1080
1987-02-08,25.68,-77.39,400
1987-02-09,25.47,-75.28,1012
1987-02-15,22.45,-73.68,1080
1987-02-16,21,-73.87,540
1987-02-16,21.67,-73.56,0
1987-02-17,20.72,-74.12,1157
1987-02-17,20.85,-73.82,0
1987-02-18,19.54,-73.88,3600
1987-02-18,19.99,-73.6,0
1987-02-19,18.69,-75.06,1350
1987-02-19,18.93,-74.64,0
1987-02-20,18.34,-75.85,0
1987-02-23,18.25,-76.13,3780
1987-02-25,17.2,-77.03,864
1987-02-26,16.24,-77.15,288
1987-02-27,16.35,-79.47,0
1987-02-28,16.27,-80.22,0
1987-02-28,16.77,-81.33,0
1987-03-01,16.51,-85.08,1440
1987-03-01,16.72,-83.78,1080
1987-03-02,16.25,-85.87,0
1987-03-02,16.53,-85.33,0
1987-04-07,26.46,-79.46,309
1987-04-08,26.27,-78.23,3857
1987-04-10,25.42,-76.03,982
1987-04-10,25.65,-76.08,2160
1987-04-14,25.7,-76.18,356
1987-04-14,25.92,-75.6,3138
1987-04-14,25.92,-75.6,1056
1987-04-15,27.57,-74.38,4950
1987-04-15,27.57,-74.38,3175
1987-04-17,28.95,-72.17,4909
1987-04-18,29.12,-71.35,6479
1987-04-18,29.72,-70.32,1800
1987-04-18,30.67,-69.27,4320
1987-04-19,30.67,-69.27,10799
1987-04-21,31.82,-66.15,2348
1987-04-25,32.71,-64.76,24298
1987-04-25,32.71,-64.76,205184
1987-04-26,33.54,-65.63,13199
1987-04-26,33.54,-65.63,5940
1987-04-28,34.68,-66.58,2160
1987-05-25,39.97,-70.55,3240
1987-05-25,40.52,-70.58,0
1987-05-26,38.12,-69.68,540
1987-05-26,38.12,-69.68,1620
1987-05-26,38.9,-69.97,5400
1987-05-27,36.5,-69.42,29158
1987-05-27,36.5,-69.42,29698
1987-05-27,37.37,-69.38,0
1987-05-27,37.37,-69.38,1620
1987-05-28,35.48,-68.73,2700
1987-05-28,37.4,-69.43,11159
1987-05-28,37.4,-69.43,12599
1987-05-29,35.52,-66.75,3780
1987-05-29,35.52,-66.75,2700
1987-05-29,36.08,-67.67,6479
1987-05-30,34.9,-64.77,36254
1987-05-31,33.9,-64.45,56156
1987-05-31,33.9,-64.45,46436
1987-05-31,34.37,-64.63,5616
1987-05-31,34.37,-64.63,13799
1987-05-31,34.65,-64.98,20518
1987-06-01,32.38,-64.17,34197
1987-06-06,32.83,-64.85,5850
1987-06-06,32.83,-64.85,0
1987-06-06,33.77,-65.42,13499
1987-06-06,33.77,-65.42,16199
1987-06-07,33.87,-65.73,1286
1987-06-07,33.87,-65.73,540
1987-06-09,32.9,-64.68,16199
1987-06-09,32.9,-64.68,10259
1987-06-09,33.38,-64.87,9359
1987-06-11,35.62,-65.95,2592
1987-06-11,35.62,-65.95,17279
1987-06-12,36.37,-66.48,7199
1987-06-14,40.57,-66.53,2700
1987-06-14,41.45,-65.98,1080
1987-06-14,41.45,-65.98,0
1987-06-15,42.88,-65.47,0
1987-06-16,43.55,-64.88,2700
1987-06-16,43.55,-64.88,2160
1987-06-23,42.98,-66.45,741
1987-12-04,16.43,-63.6,0
1987-12-05,15.9,-62.75,2160
1987-12-05,15.9,-62.75,2057
1987-12-05,16.43,-63.6,432
1987-12-06,14.33,-62.45,39874
1987-12-06,14.37,-62.48,16919
1987-12-06,15.26,-62.65,1038
1987-12-06,15.26,-62.65,540
1987-12-07,13.95,-61.88,0
1987-12-07,13.95,-61.88,1080
1987-12-07,15.13,-62.03,8279
1987-12-07,15.13,-62.03,1200
1987-12-08,13.27,-61.47,0
1987-12-12,12.5,-62.03,0
1987-12-12,12.13,-64.27,0
1987-12-12,12.39,-63.05,2700
1987-12-12,12.39,-63.05,1080
1987-12-13,12.13,-64.27,0
1987-12-13,12.43,-65.48,1620
1987-12-13,12.43,-65.48,0
1987-12-14,12.27,-67.5,0
1987-12-14,12.45,-66.55,0
1987-12-14,12.47,-66.52,0
1987-12-15,11.94,-68.26,0
1987-12-18,12.97,-70.23,1080
1987-12-18,12.97,-70.23,0
1987-12-19,13.35,-71.32,6479
1987-12-19,13.35,-71.32,0
1987-12-19,13.8,-72.48,2400
1987-12-19,13.8,-72.48,3600
1987-12-20,15.25,-75.83,3240
1987-12-20,15.25,-75.83,0
1987-12-21,15.82,-76.78,540
1987-12-21,15.82,-76.78,1080
1987-12-21,16.44,-78.05,3780
1987-12-21,16.44,-78.05,540
1987-12-22,16.53,-79.06,540
1987-12-22,16.53,-79.06,0
1987-12-27,16.4,-82.63,0
1987-12-27,16.4,-82.63,540
1987-12-27,16.74,-83.72,2700
1987-12-27,16.74,-83.72,0
1987-12-28,16.23,-86.26,0
1987-12-28,16.36,-84.47,540
1987-12-28,16.33,-85.63,982
1987-12-28,16.33,-85.63,1350
1987-12-29,16.17,-86.29,0
1987-12-29,16.22,-86.29,0
1989-05-25,39.72,-68.86,675
1989-05-25,40.23,-69.71,1620
1989-05-25,40.23,-69.71,5400
1989-05-26,38.87,-68.88,0
1989-05-26,39.35,-68.48,1620
1989-05-26,39.35,-68.48,5400
1989-05-26,39.72,-68.86,540
1989-05-29,34.67,-66.21,23218
1989-05-29,35.1,-66.71,17819
1989-05-29,35.1,-66.71,0
1989-05-30,32.79,-65.16,27538
1989-05-30,33.44,-65.72,29158
1989-05-30,34.67,-66.21,23758
1989-05-31,32.79,-65.16,39957
1989-06-03,32.53,-64.61,16199
1989-06-03,32.53,-64.61,27598
1989-06-04,33.25,-64.86,92333
1989-06-04,33.25,-64.86,21598
1989-06-04,33.75,-64.93,43197
1989-06-05,33.75,-64.93,0
1989-06-05,34.17,-65.2,71274
1989-06-06,35.09,-65.58,13744
1989-06-06,35.09,-65.58,2160
1989-06-06,35.82,-65.81,1963
1989-06-07,35.82,-65.81,5940
1989-06-07,35.82,-65.81,8639
1989-06-07,35.82,-65.81,1620
1989-06-08,39.12,-66.41,0
1989-06-09,39.12,-66.41,900
1989-06-12,40.5,-67.68,1350
1989-06-12,40.5,-67.68,1080
1989-06-12,40.52,-67.62,540
1989-06-12,40.52,-67.62,0
1989-06-15,42.21,-65.7,3600
1989-06-16,43.44,-65.19,491
1989-06-19,43.48,-65.22,450
1989-07-13,45.28,-60.29,0
1989-07-16,40.83,-70.15,29158
1989-07-16,40.83,-70.15,11782
1989-07-17,40.02,-70.38,3780
1989-07-17,40.02,-70.38,4320
1989-07-19,39.62,-68.67,3780
1989-07-19,39.62,-68.67,3240
1989-07-20,40.21,-68.1,1620
1989-07-20,40.21,-68.1,4860
1989-07-20,40.94,-67.32,29698
1989-07-20,40.94,-67.32,8639
1989-07-21,41.6,-66.48,4320
1989-07-21,42.46,-65.91,3273
1989-07-21,42.46,-65.91,4320
1989-07-22,43.8,-63.19,1028
1989-07-22,43.12,-64.76,3359
1989-07-22,43.12,-64.76,0
1989-07-23,43.83,-62.39,0
1989-07-23,43.86,-62.37,0
1989-07-23,44.32,-61.97,0
1989-07-23,44.32,-61.97,540
1989-07-24,44.49,-61.11,1080
1989-07-24,45.09,-59.8,1414
1989-07-24,45.09,-59.8,1102
1989-07-25,45.41,-58.64,0
1989-07-25,46.29,-57.62,522
1989-07-27,47.41,-56.17,0
1989-07-31,47.09,-56.57,0
1989-07-31,47.09,-56.57,1129
1989-08-01,44.95,-56.87,0
1989-08-01,44.95,-56.87,1080
1989-08-01,46.07,-56.87,1080
1989-08-01,46.07,-56.87,1620
1989-08-02,43.95,-57.26,4320
1989-08-02,43.95,-57.26,2250
1989-08-11,43.15,-63.38,1080
1989-08-11,43.15,-63.38,540
1989-08-11,43.49,-63.42,3599
1989-08-11,43.49,-63.42,0
1989-08-12,42.69,-63.51,5940
1989-08-12,42.69,-63.51,3780
1989-08-12,42.82,-63.57,415
1989-08-12,42.82,-63.57,3780
1989-08-12,42.91,-65.41,4320
1989-08-13,42.78,-65.5,22138
1989-08-13,42.78,-65.5,1620
1989-08-13,42.91,-65.41,23218
1989-08-14,42.82,-65.4,1080
1989-08-14,42.82,-65.4,3240
1989-08-15,42.16,-65.95,19978
1989-08-15,42.16,-65.95,28618
1989-08-17,43.09,-67.49,0
1989-10-12,40.3,-69.77,0
1989-10-12,40.93,-70.65,569
1989-10-12,40.93,-70.65,1080
1989-10-15,39.88,-67.15,0
1989-10-18,37.83,-63.73,10799
1989-10-18,37.83,-63.73,133909
1989-10-19,36.9,-63.38,17279
1989-10-19,36.9,-63.38,21058
1989-10-20,34.7,-61.98,2880
1989-10-20,35.7,-61.98,74874
